step,time,x0,x1,x2,x3,x4,x5,xhat0,xhat1,xhat2,xhat3,xhat4,xhat5
68,1.3600,0.1439,-0.0966,0.0845,0.0240,0.8381,-0.4892,-0.0039,-0.1732,0.0694,-0.7013,0.3238,-0.4907
69,1.3800,0.1445,-0.0800,0.0850,0.0501,0.8144,0.5427,-0.0715,-0.1778,0.0743,-0.9249,0.2156,0.5450
70,1.4000,0.1457,-0.0638,0.0993,0.0780,0.8060,0.8864,-0.0704,-0.1715,0.0792,-0.8287,0.2231,0.8804
71,1.4200,0.1475,-0.0478,0.1157,0.1090,0.7957,0.7550,-0.0427,-0.1560,0.0990,-0.6117,0.2998,0.7521
72,1.4400,0.1499,-0.0321,0.1268,0.1429,0.7733,0.3486,-0.1119,-0.1567,0.1242,-0.8367,0.2268,0.3583
73,1.4600,0.1530,-0.0168,0.1357,0.1785,0.7608,0.5474,-0.0140,-0.1873,0.1072,-0.3181,-0.0590,0.5340
74,1.4800,0.1568,-0.0013,0.1403,0.2158,0.7909,-0.0877,0.1113,-0.1849,0.0925,0.2786,-0.0037,-0.1180
75,1.5000,0.1614,0.0148,0.1306,0.2525,0.8131,-0.8865,0.2575,-0.1390,0.0852,0.9270,0.3767,-0.9139
76,1.5200,0.1667,0.0307,0.1034,0.2857,0.7782,-1.8300,0.0449,-0.1119,0.0703,-0.0852,0.4971,-1.8462
77,1.5400,0.1727,0.0457,0.0820,0.3134,0.7237,-0.3127,-0.0139,-0.1734,0.0640,-0.3193,-0.1116,-0.3152
78,1.5600,0.1791,0.0605,0.0798,0.3391,0.7593,0.0955,-0.0856,-0.2154,0.0402,-0.6152,-0.3898,0.0739
79,1.5800,0.1860,0.0765,0.0876,0.3654,0.8377,0.6838,-0.3346,-0.1709,0.0701,-1.6509,0.0910,0.6820
80,1.6000,0.1935,0.0933,0.1151,0.3949,0.8454,2.0712,-0.1121,-0.0883,0.0779,-0.5057,0.7303,2.0521
81,1.6200,0.2017,0.1093,0.1401,0.4305,0.7563,0.4286,-0.0618,-0.1402,0.1096,-0.2124,0.1283,0.4158
82,1.6400,0.2105,0.1245,0.1425,0.4684,0.7553,-0.1973,0.0151,-0.1577,0.1136,0.1730,-0.0300,-0.2085
83,1.6600,0.2202,0.1398,0.1325,0.5055,0.7780,-0.7948,-0.0128,-0.2135,0.0846,0.0396,-0.4408,-0.8226
84,1.6800,0.2306,0.1562,0.1200,0.5401,0.8631,-0.4549,0.0416,-0.1704,0.0850,0.3034,0.0435,-0.4708
85,1.7000,0.2416,0.1736,0.1071,0.5724,0.8772,-0.8438,0.0280,-0.2542,0.0755,0.2328,-0.6058,-0.8563
86,1.7200,0.2533,0.1923,0.0915,0.6017,0.9897,-0.7084,0.1469,-0.2157,0.0540,0.7526,-0.1064,-0.7259
87,1.7400,0.2655,0.2125,0.0708,0.6276,1.0295,-1.3603,0.2058,-0.1153,0.0345,0.9584,0.7327,-1.3765
88,1.7600,0.2782,0.2322,0.0413,0.6484,0.9433,-1.5956,0.3892,-0.1061,0.0045,1.6970,0.6109,-1.6119
89,1.7800,0.2912,0.2504,-0.0002,0.6625,0.8726,-2.5557,0.5379,-0.1282,-0.0391,2.2063,0.2768,-2.5735
90,1.8000,0.3045,0.2676,-0.0572,0.6666,0.8500,-3.1425,0.4885,-0.1002,-0.0926,1.7776,0.4321,-3.1570
91,1.8200,0.3177,0.2841,-0.1117,0.6594,0.8029,-2.3038,0.5003,-0.0593,-0.1309,1.6597,0.6405,-2.3037
92,1.8400,0.3307,0.2994,-0.1544,0.6428,0.7227,-1.9645,0.5466,-0.0889,-0.1552,1.7022,0.2347,-1.9482
93,1.8600,0.3432,0.3136,-0.1934,0.6181,0.7012,-1.9448,0.6912,-0.0504,-0.1569,2.1901,0.4794,-1.8958
94,1.8800,0.3552,0.3270,-0.2401,0.5853,0.6418,-2.7163,0.7452,0.0300,-0.2063,2.1992,0.9788,-2.6707
95,1.9000,0.3664,0.3385,-0.2927,0.5423,0.5050,-2.5460,0.9681,0.1726,-0.3062,2.9227,1.8149,-2.5429
96,1.9200,0.3767,0.3459,-0.3493,0.4888,0.2375,-3.1209,0.9202,0.3370,-0.3620,2.3843,2.5705,-3.1171
97,1.9400,0.3858,0.3468,-0.4018,0.4241,-0.1522,-2.1288,0.8053,0.4402,-0.3896,1.6005,2.6165,-2.1031
98,1.9600,0.3934,0.3397,-0.4320,0.3511,-0.5603,-0.8846,0.7443,0.4254,-0.4174,1.1092,1.7151,-0.8572
99,1.9800,0.3996,0.3256,-0.4412,0.2743,-0.8439,-0.0336,0.9468,0.5028,-0.4545,1.8172,1.7908,-0.0314
100,2.0000,0.4042,0.3057,-0.4503,0.1962,-1.1469,-0.8829,0.9507,0.5392,-0.4537,1.5930,1.5162,-0.8720
