step,time,x0,x1,x2,x3,x4,x5,xhat0,xhat1,xhat2,xhat3,xhat4,xhat5
380,7.6000,0.0988,0.0752,0.0728,0.5643,0.1253,-1.2964,-0.1731,0.0142,0.0815,0.1673,0.3414,-1.2892
381,7.6200,0.1102,0.0772,0.0548,0.5863,0.0772,-0.5109,-0.4252,0.0624,0.0338,-0.9838,0.6199,-0.5300
382,7.6400,0.1220,0.0778,0.0643,0.6071,-0.0146,1.4635,-0.0937,-0.0109,0.0523,0.6014,-0.1343,1.4527
383,7.6600,0.1343,0.0777,0.0699,0.6308,0.0050,-0.8995,-0.2079,-0.0144,0.0597,0.0489,-0.1230,-0.9086
384,7.6800,0.1471,0.0780,0.0590,0.6531,0.0234,-0.1943,0.0882,0.0229,0.0444,1.3770,0.2053,-0.2069
385,7.7000,0.1602,0.0782,0.0365,0.6729,-0.0072,-2.0514,0.0240,-0.0038,0.0189,0.9710,-0.0645,-2.0666
386,7.7200,0.1738,0.0781,0.0021,0.6863,0.0020,-1.3953,0.0563,-0.0410,-0.0177,1.0270,-0.3367,-1.4121
387,7.7400,0.1875,0.0787,-0.0248,0.6939,0.0527,-1.2941,0.3236,-0.0210,-0.0200,2.1431,-0.0805,-1.2889
388,7.7600,0.2013,0.0799,-0.0674,0.6953,0.0661,-2.9600,0.3805,0.0044,-0.0640,2.1970,0.1429,-2.9562
389,7.7800,0.2151,0.0810,-0.1260,0.6862,0.0461,-2.9016,0.2483,0.0756,-0.1442,1.3760,0.6587,-2.9169
390,7.8000,0.2286,0.0809,-0.1682,0.6667,-0.0525,-1.3173,0.1760,0.0941,-0.1397,0.9301,0.6100,-1.2911
391,7.8200,0.2416,0.0789,-0.1884,0.6415,-0.1466,-0.7058,0.4138,0.1472,-0.1822,1.8671,0.8432,-0.6997
392,7.8400,0.2540,0.0747,-0.2141,0.6123,-0.2788,-1.8628,0.2756,0.1204,-0.1925,1.0555,0.3795,-1.8432
393,7.8600,0.2658,0.0684,-0.2397,0.5774,-0.3446,-0.6973,0.3315,0.2109,-0.2279,1.1654,0.9674,-0.6867
394,7.8800,0.2769,0.0600,-0.2534,0.5390,-0.5012,-0.6705,0.2007,0.1467,-0.2248,0.4432,0.1696,-0.6453
395,7.9000,0.2872,0.0496,-0.2567,0.4987,-0.5415,0.3374,0.0651,0.2222,-0.2026,-0.2287,0.6964,0.3846
396,7.9200,0.2966,0.0375,-0.2412,0.4596,-0.6625,1.2086,0.3337,0.1637,-0.1873,0.9566,0.0186,1.2549
397,7.9400,0.3053,0.0241,-0.2351,0.4234,-0.6843,-0.5924,0.2002,0.1987,-0.1729,0.2449,0.2691,-0.5396
398,7.9600,0.3133,0.0098,-0.2379,0.3866,-0.7443,0.3078,0.1106,0.1948,-0.1832,-0.2171,0.1415,0.3530
399,7.9800,0.3206,-0.0055,-0.2242,0.3510,-0.7865,1.0587,0.2986,0.2077,-0.1831,0.6009,0.1812,1.0911
400,8.0000,0.3272,-0.0218,-0.2148,0.3182,-0.8356,-0.1187,0.3111,0.1705,-0.1794,0.5656,-0.1838,-0.0918
401,8.0200,0.3331,-0.0384,-0.2173,0.2857,-0.8306,-0.1284,0.0862,0.2365,-0.1891,-0.5310,0.3664,-0.1085
402,8.0400,0.3384,-0.0558,-0.2034,0.2538,-0.9084,1.5237,0.3599,0.1026,-0.2067,0.6851,-0.8099,1.5155
403,8.0600,0.3431,-0.0730,-0.1892,0.2256,-0.8102,-0.1101,0.2843,0.1420,-0.1929,0.2482,-0.2845,-0.1185
404,8.0800,0.3472,-0.0890,-0.1863,0.1983,-0.7881,0.4024,0.2494,0.1530,-0.1854,0.0372,-0.1336,0.3982
405,8.1000,0.3508,-0.1047,-0.1755,0.1725,-0.7879,0.6749,0.3765,0.1561,-0.1974,0.5531,-0.0889,0.6507
406,8.1200,0.3539,-0.1206,-0.1689,0.1485,-0.7942,-0.0087,0.3810,0.2053,-0.1968,0.4838,0.3046,-0.0377
407,8.1400,0.3565,-0.1371,-0.1684,0.1250,-0.8598,0.0595,0.4865,0.1471,-0.1649,0.8982,-0.2589,0.0587
408,8.1600,0.3587,-0.1541,-0.1752,0.1011,-0.8419,-0.7465,0.7019,0.1742,-0.1669,1.7539,0.0102,-0.7430
409,8.1800,0.3603,-0.1712,-0.2031,0.0738,-0.8638,-2.0428,0.7276,0.1867,-0.1894,1.6822,0.0861,-2.0346
410,8.2000,0.3614,-0.1888,-0.2425,0.0393,-0.8975,-1.8998,0.7447,0.1400,-0.2204,1.5743,-0.3237,-1.8844
411,8.2200,0.3617,-0.2065,-0.2778,-0.0025,-0.8699,-1.6254,0.3002,0.1088,-0.2604,-0.6045,-0.4918,-1.6145
412,8.2400,0.3611,-0.2233,-0.2765,-0.0486,-0.8157,1.7569,0.2945,0.0795,-0.2646,-0.6297,-0.5938,1.7628
413,8.2600,0.3596,-0.2389,-0.2398,-0.0901,-0.7442,1.9088,0.4882,0.1475,-0.2394,0.2398,0.0970,1.9045
414,8.2800,0.3573,-0.2541,-0.2156,-0.1252,-0.7747,0.5176,0.3269,0.2028,-0.2185,-0.5478,0.4855,0.5104
415,8.3000,0.3544,-0.2705,-0.1951,-0.1567,-0.8647,1.5263,0.2643,0.0926,-0.2183,-0.8324,-0.5350,1.5014
416,8.3200,0.3508,-0.2872,-0.1600,-0.1827,-0.8027,1.9872,0.4295,0.0703,-0.1890,-0.0598,-0.5684,1.9575
417,8.3400,0.3469,-0.3025,-0.1328,-0.2021,-0.7336,0.7268,0.3293,-0.0016,-0.1659,-0.5378,-0.9784,0.6941
418,8.3600,0.3426,-0.3159,-0.1128,-0.2176,-0.6002,1.2795,0.2454,-0.1323,-0.1511,-0.8974,-1.7246,1.2427
419,8.3800,0.3380,-0.3254,-0.0824,-0.2282,-0.3497,1.7571,0.3378,-0.1528,-0.1169,-0.4260,-1.3847,1.7244
420,8.4000,0.3333,-0.3303,-0.0557,-0.2329,-0.1432,0.9123,0.3593,-0.1940,-0.0655,-0.2926,-1.2995,0.9019
421,8.4200,0.3285,-0.3312,-0.0424,-0.2339,0.0566,0.4226,0.4411,-0.2217,-0.0403,0.0972,-1.1285,0.4229
422,8.4400,0.3237,-0.3282,-0.0411,-0.2335,0.2364,-0.2953,0.4107,-0.2524,-0.0146,-0.0378,-1.0267,-0.2735
423,8.4600,0.3190,-0.3218,-0.0467,-0.2340,0.4059,-0.2643,0.1777,-0.3407,-0.0157,-1.0776,-1.4010,-0.2389
424,8.4800,0.3142,-0.3114,-0.0366,-0.2345,0.6368,1.2700,0.2779,-0.2959,0.0276,-0.5122,-0.6181,1.3243
425,8.5000,0.3094,-0.2975,-0.0214,-0.2319,0.7557,0.2568,0.3867,-0.3279,0.0449,0.0283,-0.6624,0.3119
426,8.5200,0.3048,-0.2811,-0.0252,-0.2283,0.8845,-0.6427,0.2568,-0.3643,0.0154,-0.5657,-0.7243,-0.6112
427,8.5400,0.3001,-0.2620,-0.0279,-0.2261,1.0260,0.3761,0.3737,-0.2842,0.0221,0.0167,0.1455,0.4154
428,8.5600,0.2956,-0.2413,-0.0290,-0.2238,1.0396,-0.4842,0.4598,-0.2803,0.0108,0.3971,0.1665,-0.4547
429,8.5800,0.2910,-0.2204,-0.0438,-0.2233,1.0499,-1.0019,0.2825,-0.2952,-0.0240,-0.4456,0.0330,-0.9904
430,8.6000,0.2865,-0.1991,-0.0498,-0.2256,1.0802,0.4067,0.0080,-0.2952,-0.0516,-1.6553,0.0556,0.3988
431,8.6200,0.2819,-0.1772,-0.0219,-0.2260,1.1073,2.3847,-0.0018,-0.3170,0.0051,-1.5381,-0.0983,2.4023
432,8.6400,0.2773,-0.1546,0.0218,-0.2187,1.1580,1.9879,-0.0955,-0.1638,0.0422,-1.8195,1.1618,1.9993
433,8.6600,0.2730,-0.1328,0.0641,-0.2033,1.0191,2.2401,-0.0859,-0.1912,0.0711,-1.6108,0.6376,2.2396
434,8.6800,0.2690,-0.1131,0.1049,-0.1798,0.9548,1.8390,-0.2009,-0.1673,0.1119,-1.9639,0.6657,1.8385
435,8.7000,0.2656,-0.0947,0.1451,-0.1487,0.8838,2.1761,-0.0892,-0.1854,0.1525,-1.2630,0.3545,2.1760
436,8.7200,0.2630,-0.0773,0.1767,-0.1102,0.8573,0.9892,-0.1041,-0.2091,0.1885,-1.1813,0.0896,0.9929
437,8.7400,0.2611,-0.0600,0.1935,-0.0674,0.8697,0.6838,-0.0160,-0.2533,0.2048,-0.6446,-0.2589,0.6872
438,8.7600,0.2601,-0.0420,0.1986,-0.0225,0.9348,-0.1680,0.0596,-0.2659,0.2063,-0.2121,-0.2570,-0.1680
439,8.7800,0.2601,-0.0226,0.1888,0.0216,1.0011,-0.8133,0.1477,-0.3303,0.1817,0.2290,-0.6598,-0.8263
440,8.8000,0.2609,-0.0013,0.1673,0.0625,1.1298,-1.3350,0.2609,-0.3610,0.1691,0.7536,-0.6776,-1.3400
441,8.8200,0.2625,0.0227,0.1333,0.0979,1.2645,-2.0627,0.3648,-0.3391,0.1112,1.1628,-0.2761,-2.0887
442,8.8400,0.2647,0.0487,0.0889,0.1252,1.3420,-2.3860,0.4576,-0.3125,0.0705,1.4935,0.0466,-2.4082
443,8.8600,0.2674,0.0759,0.0380,0.1430,1.3724,-2.6991,0.4828,-0.1952,0.0307,1.4889,0.9851,-2.7111
444,8.8800,0.2703,0.1022,-0.0143,0.1504,1.2612,-2.5348,0.4517,-0.0626,-0.0131,1.2230,1.7651,-2.5391
445,8.9000,0.2733,0.1251,-0.0592,0.1479,1.0282,-1.9526,0.5486,-0.0348,-0.0397,1.5531,1.4918,-1.9407
446,8.9200,0.2762,0.1437,-0.1020,0.1369,0.8292,-2.3267,0.7715,0.0370,-0.0923,2.3928,1.6367,-2.3236
447,8.9400,0.2787,0.1580,-0.1586,0.1162,0.6019,-3.3326,0.7956,0.1565,-0.1422,2.2688,2.1062,-3.3236
448,8.9600,0.2807,0.1670,-0.2217,0.0832,0.2967,-2.9789,0.7094,0.1737,-0.2037,1.6475,1.6299,-2.9688
449,8.9800,0.2819,0.1705,-0.2694,0.0389,0.0543,-1.7946,0.7423,0.0937,-0.2583,1.5993,0.5251,-1.7906
450,9.0000,0.2822,0.1707,-0.3019,-0.0132,-0.0283,-1.4527,0.7741,0.0727,-0.2806,1.5539,0.2030,-1.4399
451,9.0200,0.2813,0.1698,-0.3296,-0.0713,-0.0644,-1.3105,0.6656,0.1238,-0.3093,0.8730,0.5372,-1.2988
452,9.0400,0.2792,0.1676,-0.3446,-0.1341,-0.1522,-0.1980,0.7537,0.2166,-0.2937,1.1505,1.0986,-0.1594
453,9.0600,0.2758,0.1629,-0.3537,-0.1989,-0.3273,-0.7042,0.7449,0.2517,-0.3028,0.9521,1.0398,-0.6664
454,9.0800,0.2711,0.1546,-0.3648,-0.2661,-0.4985,-0.4099,0.6627,0.1993,-0.2862,0.4596,0.3097,-0.3483
455,9.1000,0.2651,0.1440,-0.3670,-0.3349,-0.5641,0.1931,0.5148,0.2774,-0.2963,-0.3035,0.8114,0.2467
456,9.1200,0.2577,0.1313,-0.3513,-0.4027,-0.7072,1.3708,0.4509,0.2829,-0.2852,-0.6204,0.5956,1.4194
457,9.1400,0.2489,0.1160,-0.3195,-0.4657,-0.8216,1.8118,0.4800,0.2797,-0.2683,-0.4962,0.3715,1.8463
458,9.1600,0.2389,0.0987,-0.2857,-0.5224,-0.9051,1.5693,0.2414,0.3495,-0.2651,-1.5885,0.7826,1.5761
459,9.1800,0.2279,0.0791,-0.2382,-0.5717,-1.0528,3.1774,0.1770,0.3333,-0.2371,-1.7933,0.3973,3.1669
460,9.2000,0.2160,0.0571,-0.1723,-0.6097,-1.1461,3.4147,0.2239,0.2267,-0.1684,-1.4588,-0.5843,3.4070
461,9.2200,0.2035,0.0347,-0.1121,-0.6352,-1.0932,2.6072,0.1225,0.1746,-0.1424,-1.8310,-0.8522,2.5693
462,9.2400,0.1906,0.0138,-0.0555,-0.6499,-0.9977,3.0499,0.2255,0.0224,-0.0759,-1.2202,-1.8214,3.0215
463,9.2600,0.1774,-0.0037,-0.0065,-0.6538,-0.7523,1.8506,0.1341,0.0260,-0.0491,-1.5439,-1.2817,1.8030
464,9.2800,0.1644,-0.0170,0.0340,-0.6497,-0.5808,2.1974,0.2001,-0.0141,-0.0156,-1.1200,-1.2366,2.1446
465,9.3000,0.1514,-0.0269,0.0704,-0.6380,-0.4107,1.4453,0.0974,0.0298,0.0376,-1.4661,-0.5429,1.4082
466,9.3200,0.1388,-0.0344,0.1016,-0.6200,-0.3403,1.6766,0.2098,-0.0146,0.0771,-0.8155,-0.7410,1.6475
467,9.3400,0.1266,-0.0402,0.1239,-0.5967,-0.2377,0.5489,0.2115,0.0739,0.0836,-0.7283,0.1618,0.5064
468,9.3600,0.1149,-0.0453,0.1332,-0.5708,-0.2684,0.3868,0.0047,-0.0330,0.1083,-1.5609,-0.7278,0.3586
469,9.3800,0.1038,-0.0496,0.1520,-0.5426,-0.1654,1.4896,-0.3174,-0.0930,0.1272,-2.8409,-0.9883,1.4620
470,9.4000,0.0932,-0.0515,0.2003,-0.5083,-0.0199,3.3399,-0.2477,-0.1229,0.1733,-2.2474,-0.9332,3.3109
471,9.4200,0.0835,-0.0504,0.2571,-0.4630,0.1217,2.3404,-0.0142,-0.1168,0.2408,-0.9551,-0.6092,2.3213
472,9.4400,0.0747,-0.0470,0.2816,-0.4096,0.2184,0.1137,-0.0039,-0.0741,0.2531,-0.7835,-0.0909,0.0842
473,9.4600,0.0671,-0.0425,0.2805,-0.3547,0.2395,-0.2245,0.1005,-0.1097,0.2451,-0.2032,-0.3353,-0.2596
474,9.4800,0.0606,-0.0371,0.2681,-0.3012,0.2980,-1.0207,0.3937,0.0198,0.2331,1.1731,0.7836,-1.0548
475,9.5000,0.0551,-0.0322,0.2279,-0.2528,0.1890,-2.9966,0.4626,-0.0529,0.2196,1.4357,-0.0079,-3.0064
476,9.5200,0.0505,-0.0284,0.1639,-0.2153,0.1963,-3.4007,0.1957,-0.0483,0.1593,0.1503,0.0357,-3.4073
477,9.5400,0.0465,-0.0244,0.1175,-0.1895,0.1971,-1.2389,0.2462,-0.0844,0.1314,0.4003,-0.2508,-1.2290
478,9.5600,0.0429,-0.0200,0.0909,-0.1704,0.2412,-1.4227,0.2908,-0.0645,0.1033,0.5851,-0.0156,-1.4143
479,9.5800,0.0397,-0.0151,0.0611,-0.1571,0.2509,-1.5605,0.2147,0.0030,0.0870,0.2177,0.5235,-1.5403
480,9.6000,0.0367,-0.0108,0.0359,-0.1495,0.1793,-0.9590,0.3047,-0.0152,0.0435,0.6016,0.2333,-0.9552
481,9.6200,0.0338,-0.0075,0.0135,-0.1466,0.1493,-1.2792,0.1716,-0.0688,0.0242,-0.0400,-0.2500,-1.2729
482,9.6400,0.0309,-0.0041,-0.0019,-0.1479,0.1914,-0.2580,-0.0213,-0.0528,0.0032,-0.9013,-0.0466,-0.2567
483,9.6600,0.0279,-0.0002,0.0070,-0.1501,0.2040,1.1467,-0.0962,-0.0358,0.0207,-1.1487,0.1052,1.1556
484,9.6800,0.0249,0.0038,0.0332,-0.1488,0.1939,1.4704,-0.0860,0.0114,0.0441,-0.9957,0.4487,1.4766
485,9.7000,0.0220,0.0071,0.0595,-0.1423,0.1314,1.1608,-0.1161,-0.0039,0.0563,-1.0403,0.2012,1.1544
486,9.7200,0.0193,0.0094,0.0830,-0.1312,0.1045,1.1869,-0.1117,-0.0513,0.0865,-0.9099,-0.2259,1.1866
487,9.7400,0.0168,0.0119,0.1035,-0.1158,0.1413,0.8607,-0.0523,0.0409,0.0986,-0.5499,0.5642,0.8531
488,9.7600,0.0147,0.0139,0.1149,-0.0975,0.0596,0.2872,-0.2529,0.0492,0.1095,-1.3794,0.4657,0.2792
489,9.7800,0.0130,0.0144,0.1323,-0.0770,-0.0096,1.4525,-0.2053,0.0136,0.1190,-1.0263,0.0509,1.4376
490,9.8000,0.0117,0.0141,0.1564,-0.0522,-0.0181,0.9501,-0.1324,0.1277,0.1719,-0.5630,0.9270,0.9609
491,9.8200,0.0110,0.0123,0.1658,-0.0241,-0.1594,-0.0074,-0.2663,0.1515,0.1841,-1.0765,0.8379,0.0057
492,9.8400,0.0108,0.0078,0.1725,0.0048,-0.2913,0.6768,-0.1557,0.1651,0.1767,-0.4602,0.6918,0.6773
493,9.8600,0.0113,0.0009,0.1778,0.0352,-0.4049,-0.1400,-0.1646,0.1664,0.1967,-0.4150,0.4894,-0.1267
494,9.8800,0.0123,-0.0081,0.1732,0.0653,-0.4912,-0.3235,-0.1895,0.1859,0.2149,-0.4370,0.4859,-0.2901
495,9.9000,0.0140,-0.0188,0.1661,0.0940,-0.5792,-0.3890,-0.1008,0.1262,0.1968,0.0306,-0.1387,-0.3660
496,9.9200,0.0162,-0.0303,0.1525,0.1207,-0.5752,-0.9650,-0.1049,0.2049,0.1839,0.0455,0.5026,-0.9418
497,9.9400,0.0189,-0.0428,0.1336,0.1438,-0.6677,-0.9316,-0.3041,0.2866,0.1506,-0.8280,0.9777,-0.9215
498,9.9600,0.0221,-0.0578,0.1296,0.1641,-0.8346,0.5376,-0.1867,0.2298,0.1142,-0.2239,0.2269,0.5188
499,9.9800,0.0256,-0.0751,0.1341,0.1849,-0.8925,-0.0882,-0.1000,0.2636,0.1184,0.2065,0.4018,-0.1068
